split,run_id,bucket,start_ts,end_ts,label,event_count,sequence,score,model_label,start_time,end_time
all,verify_checkout_discount_delay_001,356290612,1781453060.0,1781453064.0,0,33,165 163 164 165 163 169 165 163 170 165 163 165 163 164 165 163 164 165 163 164 165 163 164 165 163 169 165 163 170 165 163 164 165,0.2029772698879242,0,2026-06-14 16:04:20+00:00,2026-06-14 16:04:24+00:00
all,verify_checkout_discount_delay_001,356290613,1781453065.0,1781453069.0,0,62,163 166 165 163 167 171 165 163 164 165 163 169 165 163 170 165 163 166 165 163 167 171 165 163 165 163 166 165 163 167 163 164 163 164 171 165 165 165 163 169 165 163 170 165 163 164 165 163 169 165 163 170 165 163 164 165 163 164 165 163 164 165,0.2065822333097458,1,2026-06-14 16:04:25+00:00,2026-06-14 16:04:29+00:00
all,verify_checkout_discount_delay_001,356290614,1781453070.0,1781453074.0,0,58,163 164 165 163 169 165 163 170 165 163 164 165 163 169 165 163 170 163 165 165 163 166 165 163 167 171 165 163 170 165 163 167 163 164 165 163 164 165 163 169 165 163 170 165 163 170 171 165 165 163 164 165 163 169 165 163 170 165,0.2046356052160263,0,2026-06-14 16:04:30+00:00,2026-06-14 16:04:34+00:00
all,verify_checkout_discount_delay_001,356290615,1781453075.0,1781453078.0,0,27,163 166 165 163 167 171 165 163 164 165 163 165 163 164 165 163 164 165 163 164 165 163 170 165 163 170 165,0.1970408856868744,0,2026-06-14 16:04:35+00:00,2026-06-14 16:04:38+00:00
all,verify_checkout_discount_delay_001,356290616,1781453080.0,1781453084.0,0,42,163 164 165 163 164 165 163 164 165 163 166 165 163 167 163 164 163 164 165 165 163 169 165 163 170 165 163 165 163 164 165 163 164 171 165 165 163 164 165 163 170 165,0.20230233669281006,0,2026-06-14 16:04:40+00:00,2026-06-14 16:04:44+00:00
all,verify_checkout_discount_delay_001,356290617,1781453085.0,1781453089.0,0,42,163 166 165 163 167 163 170 171 165 165 163 164 165 10 163 164 165 163 165 163 164 165 163 169 165 163 170 165 163 172 173 2 23 4 5 161 174 175 165 163 170 165,0.2865162789821625,1,2026-06-14 16:04:45+00:00,2026-06-14 16:04:49+00:00
all,verify_checkout_discount_delay_001,356290618,1781453090.0,1781453094.0,0,82,163 164 165 163 164 165 163 166 165 163 167 163 164 165 163 166 165 163 167 163 164 165 163 169 165 163 170 163 165 165 1 2 24 4 5 161 163 164 165 163 169 165 163 170 171 171 165 165 165 163 172 173 174 175 165 163 164 165 10 2 25 4 5 161 163 164 165 163 169 165 163 170 165 163 172 173 174 163 170 175 165 165,0.3188348114490509,1,2026-06-14 16:04:50+00:00,2026-06-14 16:04:54+00:00
all,verify_checkout_discount_delay_001,356290619,1781453095.0,1781453099.0,0,26,163 164 165 163 164 165 163 165 163 164 165 163 170 163 164 165 165 163 164 165 163 164 165 163 164 165,0.19406245648860931,0,2026-06-14 16:04:55+00:00,2026-06-14 16:04:59+00:00
all,verify_checkout_discount_delay_001,356290620,1781453100.0,1781453104.0,0,54,163 164 165 163 166 165 163 167 163 164 165 163 165 171 165 163 164 165 163 169 165 163 170 165 163 164 165 163 164 165 10 2 26 4 5 161 163 164 165 163 164 165 163 169 165 163 170 165 163 172 173 174 175 165,0.29015833139419556,1,2026-06-14 16:05:00+00:00,2026-06-14 16:05:04+00:00
all,verify_checkout_discount_delay_001,356290621,1781453105.0,1781453109.0,0,64,163 164 165 163 164 165 163 170 165 163 164 165 163 164 165 163 165 163 164 165 163 170 163 164 165 165 163 169 165 163 170 10 2 27 4 5 161 165 163 172 173 163 164 165 163 169 165 174 163 170 175 165 165 163 164 165 163 166 165 163 167 163 164 165,0.2927648425102234,1,2026-06-14 16:05:05+00:00,2026-06-14 16:05:09+00:00
all,verify_checkout_discount_delay_001,356290622,1781453110.0,1781453114.0,0,63,163 166 165 163 167 171 165 171 165 163 164 165 163 164 165 163 165 1 2 28 4 5 161 163 164 165 163 164 165 163 164 165 163 169 165 163 170 165 163 172 173 174 175 165 163 164 165 163 164 165 163 167 163 170 165 171 165 163 164 165 163 170 165,0.3074197769165039,1,2026-06-14 16:05:10+00:00,2026-06-14 16:05:14+00:00
all,verify_checkout_discount_delay_001,356290623,1781453115.0,1781453117.0,0,49,10 163 164 165 163 164 165 163 164 165 163 164 165 163 169 165 163 170 165 163 172 173 2 29 4 5 161 174 175 165 163 164 165 163 169 165 163 170 165 163 165 163 170 163 164 176 165 177 165,0.3135397434234619,1,2026-06-14 16:05:15+00:00,2026-06-14 16:05:17+00:00
all,verify_checkout_discount_delay_001,356290624,1781453120.0,1781453124.0,0,59,163 170 177 165 163 164 176 165 163 165 163 170 163 164 176 165 177 165 1 2 30 4 5 161 163 164 176 165 163 169 176 165 163 172 173 174 175 165 163 164 176 165 163 164 176 165 163 170 177 176 165 163 167 176 165 163 164 176 165,0.34542617201805115,1,2026-06-14 16:05:20+00:00,2026-06-14 16:05:24+00:00
all,verify_checkout_discount_delay_001,356290625,1781453125.0,1781453129.0,0,76,10 163 164 176 165 163 169 176 165 163 172 173 175 176 165 163 164 176 165 163 166 165 163 167 176 165 163 164 176 165 163 165 163 164 176 165 163 164 176 165 163 164 176 165 163 169 176 165 163 170 177 165 163 164 176 165 163 164 176 165 163 164 176 165 163 164 176 165 163 170 177 165 163 164 176 165,0.3540278971195221,1,2026-06-14 16:05:25+00:00,2026-06-14 16:05:29+00:00
